nameid,objectname,metricname
1,time,walltime
2,RestSeg_cache_1,access-mru-0
3,RestSeg_cache_1,access-mru-1
4,RestSeg_cache_1,access-mru-2
5,RestSeg_cache_1,access-mru-3
6,RestSeg_cache_1,access-mru-4
7,RestSeg_cache_1,access-mru-5
8,RestSeg_cache_1,access-mru-6
9,RestSeg_cache_1,access-mru-7
10,RestSeg_cache_1,data-reuse-0
11,RestSeg_cache_1,data-reuse-1
12,RestSeg_cache_1,data-reuse-2
13,RestSeg_cache_1,data-reuse-3
14,RestSeg_cache_1,data-reuse-4
15,RestSeg_cache_1,metadata-reuse-0
16,RestSeg_cache_1,metadata-reuse-1
17,RestSeg_cache_1,metadata-reuse-2
18,RestSeg_cache_1,metadata-reuse-3
19,RestSeg_cache_1,metadata-reuse-4
20,RestSeg_cache_1,tlb-reuse-0
21,RestSeg_cache_1,tlb-reuse-1
22,RestSeg_cache_1,tlb-reuse-2
23,RestSeg_cache_1,tlb-reuse-3
24,RestSeg_cache_1,tlb-reuse-4
25,RestSeg_cache_1,data-util-0
26,RestSeg_cache_1,data-util-1
27,RestSeg_cache_1,data-util-2
28,RestSeg_cache_1,data-util-3
29,RestSeg_cache_1,data-util-4
30,RestSeg_cache_1,data-util-5
31,RestSeg_cache_1,data-util-6
32,RestSeg_cache_1,data-util-7
33,RestSeg_cache_1,metadata-util-0
34,RestSeg_cache_1,metadata-util-1
35,RestSeg_cache_1,metadata-util-2
36,RestSeg_cache_1,metadata-util-3
37,RestSeg_cache_1,metadata-util-4
38,RestSeg_cache_1,metadata-util-5
39,RestSeg_cache_1,metadata-util-6
40,RestSeg_cache_1,metadata-util-7
41,RestSeg_cache_1,tlb-util-0
42,RestSeg_cache_1,tlb-util-1
43,RestSeg_cache_1,tlb-util-2
44,RestSeg_cache_1,tlb-util-3
45,RestSeg_cache_1,tlb-util-4
46,RestSeg_cache_1,tlb-util-5
47,RestSeg_cache_1,tlb-util-6
48,RestSeg_cache_1,tlb-util-7
49,RestSeg_cache_1,average_data_reuse
50,RestSeg_cache_1,average_metadata_reuse
51,RestSeg_cache_1,average_tlb_reuse
52,RestSeg_1,allocation_conflicts
53,RestSeg_1,hits
54,RestSeg_1,accesses
55,RestSeg_1,allocations
56,RestSeg_1,RestSeg_utilization
57,RestSeg_cache_2,access-mru-0
58,RestSeg_cache_2,access-mru-1
59,RestSeg_cache_2,access-mru-2
60,RestSeg_cache_2,access-mru-3
61,RestSeg_cache_2,access-mru-4
62,RestSeg_cache_2,access-mru-5
63,RestSeg_cache_2,access-mru-6
64,RestSeg_cache_2,access-mru-7
65,RestSeg_cache_2,data-reuse-0
66,RestSeg_cache_2,data-reuse-1
67,RestSeg_cache_2,data-reuse-2
68,RestSeg_cache_2,data-reuse-3
69,RestSeg_cache_2,data-reuse-4
70,RestSeg_cache_2,metadata-reuse-0
71,RestSeg_cache_2,metadata-reuse-1
72,RestSeg_cache_2,metadata-reuse-2
73,RestSeg_cache_2,metadata-reuse-3
74,RestSeg_cache_2,metadata-reuse-4
75,RestSeg_cache_2,tlb-reuse-0
76,RestSeg_cache_2,tlb-reuse-1
77,RestSeg_cache_2,tlb-reuse-2
78,RestSeg_cache_2,tlb-reuse-3
79,RestSeg_cache_2,tlb-reuse-4
80,RestSeg_cache_2,data-util-0
81,RestSeg_cache_2,data-util-1
82,RestSeg_cache_2,data-util-2
83,RestSeg_cache_2,data-util-3
84,RestSeg_cache_2,data-util-4
85,RestSeg_cache_2,data-util-5
86,RestSeg_cache_2,data-util-6
87,RestSeg_cache_2,data-util-7
88,RestSeg_cache_2,metadata-util-0
89,RestSeg_cache_2,metadata-util-1
90,RestSeg_cache_2,metadata-util-2
91,RestSeg_cache_2,metadata-util-3
92,RestSeg_cache_2,metadata-util-4
93,RestSeg_cache_2,metadata-util-5
94,RestSeg_cache_2,metadata-util-6
95,RestSeg_cache_2,metadata-util-7
96,RestSeg_cache_2,tlb-util-0
97,RestSeg_cache_2,tlb-util-1
98,RestSeg_cache_2,tlb-util-2
99,RestSeg_cache_2,tlb-util-3
100,RestSeg_cache_2,tlb-util-4
101,RestSeg_cache_2,tlb-util-5
102,RestSeg_cache_2,tlb-util-6
103,RestSeg_cache_2,tlb-util-7
104,RestSeg_cache_2,average_data_reuse
105,RestSeg_cache_2,average_metadata_reuse
106,RestSeg_cache_2,average_tlb_reuse
107,RestSeg_2,allocation_conflicts
108,RestSeg_2,hits
109,RestSeg_2,accesses
110,RestSeg_2,allocations
111,RestSeg_2,RestSeg_utilization
112,barrier,global_time
113,core,bbv-0
114,core,bbv-1
115,core,bbv-2
116,core,bbv-3
117,core,bbv-4
118,core,bbv-5
119,core,bbv-6
120,core,bbv-7
121,core,bbv-8
122,core,bbv-9
123,core,bbv-10
124,core,bbv-11
125,core,bbv-12
126,core,bbv-13
127,core,bbv-14
128,core,bbv-15
129,core,instructions
130,core,spin_loops
131,core,spin_instructions
132,core,spin_elapsed_time
133,network.shmem-1.mesh,bytes-out
134,network.shmem-1.mesh,packets-out
135,network.shmem-1.mesh,bytes-in
136,network.shmem-1.mesh,packets-in
137,network.shmem-1.mesh,contention-delay
138,network.shmem-1.mesh,total-delay
139,network.shmem-1.mesh.link-down,num-requests
140,network.shmem-1.mesh.link-down,num-requests-analytical
141,network.shmem-1.mesh.link-down,total-time-used
142,network.shmem-1.mesh.link-down,total-queue-delay
143,network.shmem-1.mesh.link-left,num-requests
144,network.shmem-1.mesh.link-left,num-requests-analytical
145,network.shmem-1.mesh.link-left,total-time-used
