prefixid,nameid,core,value
1,827,0,14107112
1,826,0,14288384
1,824,0,14285444
1,825,0,14285446
1,404,0,14113177
1,398,0,14120192
1,397,0,14113177
1,373,0,14113174
1,374,0,14120192
1,380,0,14113174
1,372,0,14113173
1,390,0,14120192
1,396,0,14113176
1,389,0,14113176
1,381,0,14113175
1,382,0,14120192
1,405,0,14113178
1,388,0,14113175
1,305,0,30510856666887263
1,453,0,14112540
1,447,0,14120192
1,446,0,14112540
1,422,0,14112537
1,423,0,14120192
1,429,0,14112537
1,421,0,14112536
1,439,0,14120192
1,445,0,14112539
1,438,0,14112539
1,430,0,14112538
1,431,0,14120192
1,454,0,14112541
1,437,0,14112538
1,506,0,6928894075449207905
1,505,0,8529853214946779256
1,504,0,7594869363792897397
1,501,0,6071209992286270309
1,500,0,8461244961376527973
1,495,0,5269321968077075571
1,493,0,6074873350841787762
1,503,0,7809653381250967904
1,491,0,2334392247093849701
1,490,0,7957702681909471264
1,473,0,3193691258167250505
1,472,0,2334097595223798816
1,497,0,7600670003760137733
1,475,0,3193691258167250505
1,469,0,4992034940356468837
1,482,0,1024
1,484,0,7308324466015699201
1,499,0,8246195807081750902
1,498,0,6879358834962687086
1,471,0,3193691258167250505
1,492,0,8026294335670076756
1,474,0,2319465363099711008
1,489,0,6951701228081344623
1,476,0,2319746838076421664
1,502,0,2330688966837739589
1,477,0,3193691258167250505
1,478,0,8100131176265901088
1,470,0,2334397804591459410
1,479,0,6360582546999175540
1,496,0,6424756800922670158
1,494,0,7020302768871393093
1,481,0,1040
1,480,0,1040
1,486,0,8748083312707268468
1,487,0,2325357421919355655
1,485,0,8748083312707268468
1,507,0,7235446670432236144
1,488,0,8385737988168106324
1,209,0,11007
1,204,0,7378429391480054889
1,203,0,8675450682570014977
1,202,0,2101798970003958112
1,199,0,8529853214946779256
1,198,0,7594869363792897397
1,197,0,7809653381250967904
1,195,0,6071209992286270309
1,193,0,8246195807081750902
1,200,0,6928894075449207905
1,175,0,1040
1,171,0,3193691258167250505
1,170,0,2319746838076421664
1,173,0,6360582546999175540
1,174,0,1040
1,187,0,6074873350841787762
